Summary,Issue Type,Description,Priority,Story Points,Epic Name,Epic Link,Sprint
"Epic 1: Slot Reservation & Availability","Epic","Lets an authenticated student see live instrument availability and hold a slot of at most 2 hours, up to 7 days ahead, on an instrument whose calibration is valid. Traces to FR-001.","High",,"Slot Reservation & Availability",,
"Epic 2: Calibration Governance","Epic","Makes calibration state gate bookability rather than merely be displayed, so no reading is ever taken on an out-of-calibration instrument. Traces to FR-002.","High",,"Calibration Governance",,
"Epic 3: Equipment Custody","Epic","Ties physical custody of an instrument to the booking record through token validation and server-side check-out and check-in timestamps. Traces to FR-003.","High",,"Equipment Custody",,
"Epic 4: Late-Return Penalties","Epic","Implements the disciplinary rule: overdue computation, a 30-minute grace window, strikes, and suspension on the third strike inside a rolling 30 days. Traces to FR-004.","High",,"Late-Return Penalties",,
"Epic 5: Cancellation & Waitlist","Epic","Recovers scarce lab capacity from abandoned bookings instead of leaving instruments idle. Traces to FR-005.","Medium",,"Cancellation & Waitlist",,
"Epic 6: Access Control, Audit & Concurrency","Epic","Platform integrity: role-based access, an append-only evidence trail, and correct isolation on the contended reservation write. Traces to NFR-001 and NFR-002.","High",,"Access Control, Audit & Concurrency",,
"Epic 7: Lab Utilisation Reporting","Epic","Gives the Faculty Supervisor visibility of how lab capacity is actually used. Traces to UC-13.","Medium",,"Lab Utilisation Reporting",,
"Story 1.1: Real-Time Availability View","Story","As a student, I want to see live availability for every instrument across the next 7 days, so that I can pick a free slot without walking to the lab.","High",5,,"Slot Reservation & Availability","SLP Sprint 1"
"Story 1.2: Reserve a Slot","Story","As a student, I want to reserve a slot of up to 2 hours on a calibrated instrument, so that the instrument is guaranteed free when I arrive.","High",8,,"Slot Reservation & Availability","SLP Sprint 1"
"Story 1.3: Booking-Rule Enforcement","Story","As a lab administrator, I want requests over 120 minutes or more than 7 days ahead to be rejected, so that no one hoards scarce hardware.","High",3,,"Slot Reservation & Availability","SLP Sprint 1"
"Story 1.4: Reservation Token Issue","Story","As a student, I want to receive a unique reservation token on confirmation, so that I can prove my booking at the issue counter.","High",3,,"Slot Reservation & Availability","SLP Sprint 1"
"Story 2.1: Record Calibration Event","Story","As a lab technician, I want to record date performed, next-due date and certificate ID against an instrument, so that every instrument's calibration state is on record.","High",5,,"Calibration Governance","SLP Sprint 1"
"Story 2.2: Auto-Withdraw Expired Instruments","Story","As a faculty supervisor, I want an instrument to leave the bookable inventory the moment its next-due date passes, so that no reading is taken on an out-of-calibration instrument.","High",8,,"Calibration Governance","SLP Sprint 1"
"Story 6.1: Role-Based Access Control","Story","As a lab technician, I want calibration and penalty actions restricted to my role, so that students cannot alter their own records.","High",5,,"Access Control, Audit & Concurrency","SLP Sprint 1"
"Story 3.1: Validate Token at Issue","Story","As a lab technician, I want to validate the student's reservation token before handing over an instrument, so that only the rightful booker takes it.","High",5,,"Equipment Custody","SLP Sprint 2"
"Story 3.2: Reject Invalid Tokens","Story","As a lab technician, I want expired, reused or wrong-instrument tokens rejected with a clear reason, so that I can refuse issue confidently at the counter.","High",3,,"Equipment Custody","SLP Sprint 2"
"Story 3.3: Server-Side Custody Timestamps","Story","As an auditor, I want check-out and check-in timestamps stored server-side against the reservation, so that a late return can be proven from the record.","High",5,,"Equipment Custody","SLP Sprint 2"
"Story 4.1: Compute Overdue at Check-In","Story","As a lab technician, I want overdue duration computed automatically at check-in, so that I never have to judge lateness by hand.","High",5,,"Late-Return Penalties","SLP Sprint 2"
"Story 4.2: Grace Window and Strike","Story","As a student, I want a 30-minute grace window before a strike is recorded, so that a queue at the issue counter does not penalise me.","High",5,,"Late-Return Penalties","SLP Sprint 2"
"Story 4.3: Third-Strike Suspension","Story","As a faculty supervisor, I want booking privileges suspended for 14 days on a third strike in 30 days, so that repeat offenders stop blocking lab capacity.","High",8,,"Late-Return Penalties","SLP Sprint 2"
"Story 6.2: Append-Only Audit Log","Story","As an auditor, I want every reservation, calibration, custody and penalty event logged immutably with actor, action, timestamp and before/after state, so that a suspension can be contested with evidence.","High",8,,"Access Control, Audit & Concurrency","SLP Sprint 2"
"Story 2.3: Notify Affected Reservation Holders","Story","As a student, I want to be told within 5 minutes if my future booking is voided by calibration expiry, so that I can rebook on another instrument in time.","Medium",5,,"Calibration Governance",
"Story 4.4: Penalty Notifications","Story","As a student, I want to be notified within a minute of a strike or a suspension, so that I am never surprised by a blocked booking.","Medium",3,,"Late-Return Penalties",
"Story 5.1: Cancel a Reservation","Story","As a student, I want to cancel a reservation up to 2 hours before its start time, so that I am not penalised when my plans change.","Medium",3,,"Cancellation & Waitlist",
"Story 5.2: Join a Waitlist","Story","As a student, I want to join the waitlist for a fully booked instrument-slot, so that I get a chance if someone cancels.","Medium",5,,"Cancellation & Waitlist",
"Story 5.3: Sequential Waitlist Offer","Story","As a waitlisted student, I want a released slot offered to me in waitlist order with 30 minutes to accept, so that the offer is fair and does not stall on one person.","Medium",8,,"Cancellation & Waitlist",
"Story 5.4: No-Show Marking","Story","As a faculty supervisor, I want unused, uncancelled reservations marked NO_SHOW, so that ghost bookings are visible in utilisation data.","Low",3,,"Cancellation & Waitlist",
"Story 6.3: Twelve-Month Audit Export","Story","As a lab technician, I want to export 12 months of the audit log as CSV, so that I can answer an external audit without developer help.","Low",3,,"Access Control, Audit & Concurrency",
"Story 6.4: Race-Free Concurrent Booking","Story","As a student, I want exactly one of many simultaneous requests for the same slot to succeed within 200 ms, so that double-booking is impossible rather than merely unlikely.","High",13,,"Access Control, Audit & Concurrency",
"Story 7.1: Utilisation Report","Story","As a faculty supervisor, I want to see booked versus actually used hours per instrument, so that I can find where lab capacity is being wasted.","Medium",5,,"Lab Utilisation Reporting",
"Story 7.2: Filter Utilisation by Period","Story","As a faculty supervisor, I want to filter utilisation by date range and department, so that I can justify new equipment purchases with evidence.","Low",3,,"Lab Utilisation Reporting",
